"nroseccion","nrocircuito","letracircuito","nromesa","letramesa"
"01","404","B","91","E"
"03","121","","397",""
"03","134","A","662",""
"03","134","A","664",""
"05","106","","962",""
"06","385","A","995","E"
"06","388","B","1029",""
"06","391","","1104",""
"06","391","","1105",""
"06","399","","1335",""
"07","221","","1456","E"
"07","234","","1778","E"
"08","407","","1866",""
"08","408","","1929",""
"09","002","","2040",""
"09","011","","2201",""
"09","032","","3031",""
"10","022","","2917",""
"11","042","","3220","E"
"11","055","","3340",""
"12","285","","3477",""
"12","289","","3518","E"
"13","314","","3715",""
"13","314","","3716",""
"13","314","","3717",""
"13","314","","3718",""
"13","314","","3719",""
"13","314","","3720",""
"13","320","","3804","E"
"13","329","","3962",""
"14","342","","4221",""
"14","344","A","4459",""
"14","347","A","4809",""
"14","348","","4860",""
"14","348","","4981",""
"14","348","","4982",""
"14","349","A","5074",""
"14","349","B","5227",""
"14","349","B","5229",""
"14","349","B","5235",""
"14","349","D","5292",""
"14","353","","5367","E"
"14","354","","5562",""
"15","352","","5313",""
"15","352","","5318",""
"16","182","","6451","E"
"16","185","","6495",""
"16","194","","6548","E"
"17","276","","6607","E"
"18","094","","6830",""
"18","101","","6843","E"
"20","418","B","7017",""
"20","418","B","7017","E"
"20","418","B","7018",""
"22","251","","7497","E"
"22","262","","7608",""
"22","264","","7613",""
